operator_subj_dp_code,operator_subj_sk,sid,ts_gm_dp_code,ts_gm_name,ts_gm_sk
GMRDM_NDL_DCS,2025,25000081,GMRDM_NDL_DCS,ММВБ облигации (стиль Банк),25000081
GMRDM_NDL_DCS,2025,95007479,GMRDM_NDL_DCS,ММВБ облигации на фондовом рынке (стиль Банк),95007479
GMRDM_NDL_DCS,2025,25000047,GMRDM_NDL_DCS,Межбанковский рынок,25000047
GMRDM_NDL_DCS,2025,25000081,GMRDM_NDL_DCS,ММВБ облигации (стиль Банк),25000081
